index,family,label,relative_path,source_sheet
1,Port_Dock,cargo_crate,Port_Dock/01_cargo_crate.png,maritime_port_asset_sheet.png
2,Port_Dock,barrel,Port_Dock/02_barrel.png,maritime_port_asset_sheet.png
3,Port_Dock,rope_coil,Port_Dock/03_rope_coil.png,maritime_port_asset_sheet.png
4,Port_Dock,anchor,Port_Dock/04_anchor.png,maritime_port_asset_sheet.png
5,Port_Dock,capstan,Port_Dock/05_capstan.png,maritime_port_asset_sheet.png
6,Port_Dock,dock_bollard,Port_Dock/06_dock_bollard.png,maritime_port_asset_sheet.png
7,Port_Dock,fish_basket,Port_Dock/07_fish_basket.png,maritime_port_asset_sheet.png
8,Port_Dock,net_bundle,Port_Dock/08_net_bundle.png,maritime_harbor_props_asset_sheet.png
9,Port_Dock,lantern,Port_Dock/09_lantern.png,maritime_harbor_props_asset_sheet.png
10,Port_Dock,cargo_scale,Port_Dock/10_cargo_scale.png,maritime_harbor_props_asset_sheet.png
11,Port_Dock,harbor_notice_board,Port_Dock/11_harbor_notice_board.png,maritime_harbor_props_asset_sheet.png
12,Port_Dock,customs_desk,Port_Dock/12_customs_desk.png,maritime_harbor_props_asset_sheet.png
13,Port_Dock,ship_bell,Port_Dock/13_ship_bell.png,maritime_harbor_props_asset_sheet.png
14,Port_Dock,sail_bundle,Port_Dock/14_sail_bundle.png,maritime_harbor_props_asset_sheet.png
15,Tavern_Inn,tankard,Tavern_Inn/15_tankard.png,rustic_tavern_props_collection.png
16,Tavern_Inn,bottle,Tavern_Inn/16_bottle.png,rustic_tavern_props_collection.png
17,Tavern_Inn,clay_cup,Tavern_Inn/17_clay_cup.png,rustic_tavern_props_collection.png
18,Tavern_Inn,table,Tavern_Inn/18_table.png,rustic_tavern_props_collection.png
19,Tavern_Inn,bench,Tavern_Inn/19_bench.png,rustic_tavern_props_collection.png
20,Tavern_Inn,card_dice_set,Tavern_Inn/20_card_dice_set.png,rustic_tavern_props_collection.png
21,Tavern_Inn,tavern_notice_board,Tavern_Inn/21_tavern_notice_board.png,medieval_tavern_props_collection.png
22,Tavern_Inn,hearth_tools,Tavern_Inn/22_hearth_tools.png,medieval_tavern_props_collection.png
23,Tavern_Inn,travel_chest,Tavern_Inn/23_travel_chest.png,medieval_tavern_props_collection.png
24,Tavern_Inn,musical_instrument,Tavern_Inn/24_musical_instrument.png,medieval_tavern_props_collection.png
25,Tavern_Inn,private_booth_screen,Tavern_Inn/25_private_booth_screen.png,medieval_tavern_props_collection.png
26,Workshop,anvil,Workshop/26_anvil.png,blacksmith_workshop_asset_collection.png
27,Workshop,forge,Workshop/27_forge.png,blacksmith_workshop_asset_collection.png
28,Workshop,workbench,Workshop/28_workbench.png,blacksmith_workshop_asset_collection.png
29,Workshop,tool_rack,Workshop/29_tool_rack.png,blacksmith_workshop_asset_collection.png
30,Workshop,parts_bin,Workshop/30_parts_bin.png,blacksmith_workshop_asset_collection.png
31,Workshop,pressure_vessel,Workshop/31_pressure_vessel.png,industrial_workshop_prop_collection.png
32,Workshop,drafting_table,Workshop/32_drafting_table.png,industrial_workshop_prop_collection.png
33,Workshop,chemical_bench,Workshop/33_chemical_bench.png,industrial_workshop_prop_collection.png
34,Workshop,hoist,Workshop/34_hoist.png,industrial_workshop_prop_collection.png
35,Workshop,scrap_pile,Workshop/35_scrap_pile.png,industrial_workshop_prop_collection.png
36,Temple_Shrine,altar,Temple_Shrine/36_altar.png,temple_shrine_asset_collection.png
37,Temple_Shrine,lamp,Temple_Shrine/37_lamp.png,temple_shrine_asset_collection.png
38,Temple_Shrine,offering_bowl,Temple_Shrine/38_offering_bowl.png,temple_shrine_asset_collection.png
39,Temple_Shrine,incense_burner,Temple_Shrine/39_incense_burner.png,temple_shrine_asset_collection.png
40,Temple_Shrine,prayer_bench_mat,Temple_Shrine/40_prayer_bench_mat.png,temple_shrine_asset_collection.png
41,Temple_Shrine,memorial_tablets,Temple_Shrine/41_memorial_tablets.png,traditional_shrine_artifact_collection.png
42,Temple_Shrine,votive_items,Temple_Shrine/42_votive_items.png,traditional_shrine_artifact_collection.png
43,Temple_Shrine,ritual_basin,Temple_Shrine/43_ritual_basin.png,traditional_shrine_artifact_collection.png
44,Temple_Shrine,archive_shelf,Temple_Shrine/44_archive_shelf.png,traditional_shrine_artifact_collection.png
45,Household,trunk,Household/45_trunk.png,rustic_fantasy_household_props.png
46,Household,bedroll,Household/46_bedroll.png,rustic_fantasy_household_props.png
47,Household,wash_basin,Household/47_wash_basin.png,rustic_fantasy_household_props.png
48,Household,cooking_pot,Household/48_cooking_pot.png,rustic_fantasy_household_props.png
49,Household,storage_chest,Household/49_storage_chest.png,rustic_fantasy_household_props.png
50,Household,family_portrait_icon,Household/50_family_portrait_icon.png,medieval_household_heirlooms_collection.png
51,Household,writing_desk,Household/51_writing_desk.png,medieval_household_heirlooms_collection.png
52,Household,candles,Household/52_candles.png,medieval_household_heirlooms_collection.png
53,Household,childrens_toy,Household/53_childrens_toy.png,medieval_household_heirlooms_collection.png
54,Household,heirloom_display,Household/54_heirloom_display.png,medieval_household_heirlooms_collection.png
